season,week,date,firstDownDiff,netPassYdsDiff,totalYdsDiff,turnoverDiff,totalPlaysDiff,rushAttDiff,rushYdsDiff,rushTDDiff,passCompDiff,passAttDiff,passYdsDiff,passTDDiff,passIntDiff,timesSackedDiff,sackYdsLostDiff,fumDiff,fumLostDiff,numPenDiff,penYdsDiff,thirdConvDiff,thirdAttDiff,thirdPercDiff,fourthConvDiff,fourthAttDiff,fourthPercDiff,topDiff,eloDiff,winner
2002,9,2002-11-03,5,3,-91,1,-1,-23,-94,-2,6,19,37,-2,1,3,34,1,0,-3,0,-2,0,-0.3333333333333333,0,-1,0.5,-8.599999999999998,-54.23000000000002,Away
2002,1,2002-09-08,8,49,118,2,28,18,69,3,2,9,61,-1,2,1,12,0,0,0,-8,2,4,0,2,2,NA,18.03,-122.18700000000013,Away
2002,5,2002-10-06,5,46,-16,3,10,-9,-62,-1,9,15,60,-1,3,4,14,0,0,-3,-77,-1,-1,-0.0535714285714286,1,1,NA,3.0600000000000023,-190.50900000000001,Away
2002,5,2002-10-06,-6,-35,-68,3,-10,-5,-33,0,2,-6,-25,0,1,1,10,1,2,0,-17,0,-3,0.12857142857142856,0,0,0,-2.8599999999999994,-19.704999999999927,Away
2002,12,2002-11-24,-15,-226,-304,5,-24,-33,-78,-2,-7,1,-162,-3,4,8,64,2,1,-1,-26,-1,1,-0.2142857142857143,0,-2,NA,-19.599999999999998,-169.21900000000005,Away
2002,1,2002-09-08,0,-92,-24,-1,2,17,68,0,-8,-15,-82,0,-1,0,10,1,0,0,-10,0,1,-0.07142857142857145,0,0,NA,7.700000000000003,-201.98800000000006,Home
2002,16,2002-12-22,7,34,67,-2,21,17,33,2,3,5,16,-1,0,-1,-18,-1,-2,1,8,1,6,-0.02857142857142858,0,0,0,13.659999999999997,-54.26700000000005,Home
2002,14,2002-12-08,-2,62,61,2,-12,0,-1,0,-4,-8,24,1,1,-4,-38,-2,1,5,52,-3,-4,-0.15555555555555556,0,1,NA,-2.259999999999998,83.74900000000002,Home
2002,2,2002-09-15,8,261,263,-3,5,8,2,1,9,3,204,1,-2,-6,-57,-1,-1,-7,-45,1,-1,0.14285714285714285,0,0,NA,7.439999999999998,4.175999999999931,Home
2002,10,2002-11-10,4,48,51,2,4,2,3,-1,3,2,51,1,1,0,3,0,1,-4,-6,0,-1,0.041666666666666685,1,1,0.5,4.700000000000003,-181.61300000000006,Away
2002,8,2002-10-27,-5,-135,-96,2,-15,4,39,0,-18,-16,-140,0,2,-3,-5,1,0,3,44,-4,-5,-0.4,0,0,NA,-6.040000000000003,-219.4179999999999,Away
2002,12,2002-11-24,2,148,121,-1,8,-4,-27,-1,10,11,148,1,-1,1,0,0,0,-1,14,-2,1,-0.14338235294117646,1,3,-0.5,3.0000000000000036,71.88599999999997,Home
2002,5,2002-10-07,0,2,-77,3,3,-14,-79,0,5,17,-6,0,3,0,-8,-1,0,2,16,-1,2,-0.25,0,2,-0.6666666666666667,-2.1400000000000006,-57.45700000000011,Away
2002,1,2002-09-08,1,60,0,-1,-2,-7,-60,0,4,5,63,1,-1,0,3,-1,0,-4,-19,-1,-2,-0.041666666666666685,0,0,NA,-3.039999999999999,112.82300000000009,Home
2002,10,2002-11-10,-5,-141,-98,-1,-16,9,43,1,-20,-25,-145,-1,0,0,-4,-3,-1,-1,-35,3,3,0.375,-2,-2,0,-2,-148.16099999999983,Away
2002,3,2002-09-22,3,-1,51,-1,12,6,52,-1,4,6,3,-1,0,0,4,-1,-1,-3,-42,1,1,0.11904761904761904,1,1,NA,7.959999999999997,64.8259999999998,Away
2002,15,2002-12-15,1,-39,-68,-1,-1,2,-29,2,0,-6,-30,-1,0,3,9,-1,-1,1,20,3,2,0.3714285714285714,-1,-2,NA,5.939999999999998,-150.80500000000006,Home
2002,9,2002-11-03,-5,-6,-49,0,-9,-13,-43,0,1,4,-4,0,-1,0,2,0,1,6,67,-4,-5,-0.2215909090909091,0,-1,0.16666666666666669,-6.040000000000003,-210.5340000000001,Away
2002,17,2002-12-29,-1,22,-54,4,-14,-14,-76,0,-3,4,3,0,4,-4,-19,1,0,-1,19,-1,-3,-0.04999999999999999,1,1,NA,-14.959999999999997,-212.32799999999997,Away
2002,13,2002-12-01,10,204,134,2,23,-2,-70,1,20,27,193,0,1,-2,-11,1,1,-5,-49,-1,-1,-0.0714285714285714,3,4,-0.19999999999999996,4.859999999999999,-205.93000000000006,Away
2002,11,2002-11-17,-8,6,-32,0,-18,-13,-38,1,-5,-6,16,-2,-1,1,10,1,1,0,17,-6,-5,-0.31818181818181823,0,1,NA,-12.739999999999998,-137.336,Away
2002,15,2002-12-15,-1,23,-21,2,8,-6,-44,0,3,14,35,-3,1,0,12,1,1,0,-25,4,5,0.16176470588235292,-1,0,-0.3333333333333333,-0.03999999999999915,-190.38200000000006,Away
2002,1,2002-09-08,-14,7,-198,1,-17,-32,-205,-2,3,12,38,-2,1,3,31,0,0,5,18,-1,-1,-0.15000000000000002,0,0,NA,-15.599999999999998,9.898999999999887,Away
2002,16,2002-12-22,14,6,213,2,20,19,207,2,4,2,-13,0,2,-1,-19,-1,0,2,10,5,2,0.29464285714285715,1,-1,1,10.64,-301.9459999999999,Home
2002,6,2002-10-13,-3,-7,-140,2,2,-11,-133,-1,7,10,6,-1,1,3,13,0,1,-3,-20,1,2,-0.011904761904761973,0,2,NA,-2.3999999999999986,-230.27199999999993,Away
2002,4,2002-09-29,-6,-168,-195,-1,5,1,-27,-1,-7,3,-160,-3,-1,1,8,0,0,-3,-35,-2,1,-0.3333333333333333,2,3,NA,-2.740000000000002,-245.71000000000004,Away
2002,8,2002-10-27,2,-15,42,0,8,13,57,1,1,-4,-22,-1,0,-1,-7,0,0,2,41,1,-1,0.2142857142857143,0,1,NA,7.840000000000003,-164.75299999999993,Away
2002,17,2002-12-29,1,-97,-13,1,-7,7,84,2,-3,-15,-86,0,2,1,11,-3,-1,0,-2,-1,-1,-0.0714285714285714,0,-1,NA,1.5,-59.3449999999998,Home
2002,5,2002-10-06,3,163,24,4,4,-17,-139,0,10,19,188,1,4,2,25,2,0,2,52,-3,-4,-0.16666666666666669,2,2,NA,-1.7000000000000028,-67.32099999999991,Away
